Company,"Parent company

(if known)",Allegation that a company has failed to provide plasma,Allegation that a community is receiving inadequate payments from plasma,Protests,Government interventions,Province,District (kabupaten),Sub-district (kecamatan),"Sub-district (kecamatan) 2

(if more than one listed)","Village 

(if known)",Date of most recent report,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,Link 7
Borneo Ketapang Indah,Ciliandry Anky Abadi,,Yes,Yes,,West Sumatra,South Solok,Sangir Batang Hari,,"Nagari Lubuk Kembali Aling, Lubuk Kembali Aling Tengah",12/03/2020,(not found) https://minangkabaunews.com/artikel-32768-mediasi-penyelesaian-lahan-sawit-masyarakat-solsel-dengan-pt-msp-berakhir-deadlock.html,(not found) https://minangkabaunews.com/artikel-29761-pemkab-solsel-mediasi-persoalan-pt-msp-dengan-koperasi-serba-usaha-masyarakat.html,(unaccessible) https://s3.eu-central-1.wasabisys.com/cache.raindrop.io/243/155/258/file?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=BE6X466RAMMR6TB09V4G%2F20211209%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20211209T115242Z&X-Amz-Expires=300&X-Amz-Signature=3cce9dc26d0ecb44a5a83c0fb33ccfc75bcd0524c99b9273efd0a2e2e5e13164&X-Amz-SignedHeaders=host,(unaccessible)  https://s3.eu-central-1.wasabisys.com/cache.raindrop.io/243/163/032/file?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=BE6X466RAMMR6TB09V4G%2F20211209%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20211209T115656Z&X-Amz-Expires=300&X-Amz-Signature=697ffad6ecbe83dde88296505a3a1a44f732c3c7955974c774c839e72bcbc610&X-Amz-SignedHeaders=host,https://www.facebook.com/permalink.php?story_fbid=2793313310768456&id=873965672703239,,
Musi Banyuasin Indah,Eagle High Plantations,,Yes,Yes,,South Sumatra,Musi Banyuasin,Batanghari Leko,,"Bukit Selabu, Bukit Sejahtera",12/08/2017,https://daerah.sindonews.com/read/984355/151/petani-plasma-tuntut-sertifikat-1427950062,http://www.sigerindo.com/2017/12/sabar-berbuah-manis-kud-dan-pemdes.html,"http://www.rmolsumsel.com/read/2014/07/12/9562/Akhirnya,-MA-Menangkan-Gugatan-Kelompok-168-Muba-",https://infopublik.id/kategori/nusantara/668468/apriyadi-langsung-cek-kelapangan-tuntaskan-konflik-petani-sawit-di-bhl,https://kumparan.com/urbanid/pemkab-turun-tangan-atasi-konflik-petani-plasma-sawit-di-muba-1yu3AqBJtVx/2,,
Mustika Sembuluh,Wilmar,,Yes,Yes,,Central Kalimantan,East Kotawaringin,Mentaya Hilir Utara and Telawang,,Pondok Damar,07/10/2019,https://www.jpnn.com/news/investor-asing-juga-tak-sediakan-plasma,https://news.detik.com/berita/d-3936129/dimediasi-gubernur-ini-jalan-damai-perusakan-situs-di-kalteng,https://infobanua.co.id/2019/07/sudah-menghadapi-pencemaran-limbah-warga-tuntut-kembali-pt-mustika-sembuluh-lahan-plasma-tidak-kunjung-selesai/,https://www.baritopost.co.id/ketua-koperasi-itah-belum-hapakat-minta-plasma-segera-terealisasi/,https://www.forestpeoples.org/sites/fpp/files/publication/2013/11/conflict-or-consentenglishlowres.pdf,https://sampit.prokal.co/read/news/15297-warga-pondok-damar-tuntut-realisasi-plasma,https://askrspo.force.com/Complaint/s/case/50090000028Es0VAAS/detail and https://kaltengekspres.com/2018/02/tuntut-realisasi-plasma-puluhan-warga-pondok-damar-demo-dan-portal-ruas-jalan-pt-mustika/
Mutiara Sawit Seluma,Wilmar,,,,,West Kalimantan,Sekadau,Seluma Timur,,Talang Sali,21/05/2017,http://kupasbengkulu.com/plasma-pt-mss-diduga-fiktif/,https://www.bengkulutoday.com/index.php/koperasi-pt-mss-dilaporkan-anggotanya,,,,,
Nafasindo,Unknown,Yes,,Yes,,Aceh,Aceh Singkil,Gunung Meriah,,,20/01/2020,https://aceh.tribunnews.com/2019/02/12/komisi-ii-dprk-aceh-singkil-gelar-rdp-dengan-pt-nafasindo-pertanyakan-kewajiban-plasma,https://aceh.tribunnews.com/2018/10/02/sengketa-lahan-dengan-nafasindo-warga-unjuk-rasa-ke-kantor-dprk-aceh-singkil,https://aceh.tribunnews.com/2019/01/25/massa-demo-pt-nafasindo,https://bratapos.com/2020/01/20/terkait-plasma-pt-nafasindo-mengaitkan-dengan-lahan-280-ha/,,,
Natura Pasific Nusantara (NPN),Pertubuhan Peladang Kebangsaan (NAFAS),Yes,Yes,Yes,,East Kalimantan,Berau,Segah,,,15/04/2017,https://rightsandresources.org/wp-content/uploads/2017/05/Gender-Issues-in-Large-Scale-Land-Acquisition-Insights-from-Oil-Palm-in-Indonesia_April-2017_CIFOR.pdf,,,,,,
Nirmala Agro Lestari,Union Sampoerna Triputra Persada,Yes,,Yes,,Central Kalimantan,Lamandau,Bulik,,,07/11/2018,https://web.archive.org/web/20191004184435/https://www.kotawaringinnews.co.id/warga-bunut-keluhkan-penguasaan-plasma-perusahaan-oleh-perorangan/,http://kalteng.prokal.co/read/news/12478-warga-tuntut-janji-pt-nal,http://kalteng.prokal.co/read/news/44227-tegas-pengurus-dan-anggota-koperasi-jangan-jual-lahan,,,,
Nusantara Sawit Persada,IMC,Yes,,Yes,,Central Kalimantan,East Kotawaringin,Kota Besi,,,26/04/2017,https://www.borneonews.co.id/berita/61341-kelompok-tani-dayak-misik-demonstrasi-di-pt-nsp,https://sampit.prokal.co/read/news/9030-tagih-plasma-ratusan-warga-turun-ke-kebun.html,https://infobanua.co.id/2020/04/30/poktan-dayak-misik-mengklaim-tanah-milik-warga-yang-dulunya-kawasan-transmigrasi/,https://www.borneonews.co.id/berita/60175-ini-yang-membuat-kelompok-tani-dayak-misik-geram-dengan-pt-nsp-sampai-agendakan-demo,https://investor.id/archive/perusahaan-sawit-tolak-bangun-kebun-plasma-rakyat,https://www.kaltengpos.co/READ/-18896-ratusan_anggota_poktan_dayak_misik_mengadu_ke_bupati_kobar.html#1,http://www.ciptaplantation.com/nssweb/images/lapkeu/lapkeu_5f586f0cc7d8e-2020-09-09-12-58-36.pdf
Boswa Megalopolis,Multi Agro Gemilang Plantation Tbk,Yes,,Yes,,Gorontalo,Gorontalo,Mootilango,,Suka Maju,28/08/2020,https://kronologi.id/2020/08/28/minta-peran-wakil-rakyat-petani-plasma-demo-gedung-dprd-kabgor/,https://kronologi.id/2021/03/25/palma-group-akui-2500-petani-plasma-belum-terima-bagi-hasil-20-persen/,,,,,
Palmdale Agroasia Lestari Makmur,Unknown,Yes,,,,West Kalimantan,Kubu Raya,Sungai Ambawang,,"Teluk Bakung, Desa Pancaroba, Desa Korek, Desa Lingga",17/05/2019,https://delikkalbar.com/2019/07/02/demo-dprd-kubu-raya-warga-teluk-bakung-sampaikan-7-tuntutan/,https://www.wartajurnalis.com/pt-palmdale-agroasia-lestari-makmur-dihukum-kembalikan-lahan-dan-ganti-rugi-5-milyar/,https://www.youtube.com/watch?v=gP2N7dsvEJI,https://putusan3.mahkamahagung.go.id/direktori/putusan/6c11062f6f0e074f93106880b40b48e9.html,https://pontianak.tribunnews.com/2019/07/02/petani-plasma-sampaikan-keluhan-ke-dprd-ini-harapan-yakobus-kumis,https://pontianak.tribunnews.com/2019/07/02/petani-plasma-sampaikan-keluhan-ke-dprd-ini-harapan-yakobus-kumis,
Pamor Ganda,Bangka Bumi Lestari,,Yes,Yes,,Bengkulu,North Bengkulu,Ketahun,,,12/03/2018,https://radarutara.id/masyarakat-tuntut-kebun-plasma/,https://beritanasional.id/masyarakat-tuntut-hgu-pamor-ganda-20-diduga-bpn-ada-main-mata/,,,,,
Binasawit Abadi Pratama,Golden Agri-Resources,,Yes,Yes,,West Kalimantan,Kapuas Hulu,,,,05/09/2017,https://www.mongabay.co.id/2014/11/27/kotak-pandora-di-konsesi-sinar-mas-grup-kalbar/,https://www.forestpeoples.org/sites/default/files/news/2015/04/FPP%20Presentation%20to%20KPC%205th%20March%202015.pdf,https://drive.google.com/open?id=18J28oFswmSGMt-s8-KMo2x1ByLNWNU3t,https://rightsandresources.org/wp-content/uploads/2017/05/Gender-Issues-in-Large-Scale-Land-Acquisition-Insights-from-Oil-Palm-in-Indonesia_April-2017_CIFOR.pdf,https://www.rspo.org/file/7C(r)%20-%20Summary%20Report%20of%20SEIA%20and%20HCV%20Assessments%20PT%20Paramitra%20Internusa%20Pratama.pdf,https://www.rspo.org/public_consultations/download/b2ce400747259f6,https://kalbar.antaranews.com/berita/341155/legislator-pip-tidak-serius-bangun-kebun-plasma
Patiware,Golden Agri-Resources,Yes,,,,West Kalimantan,Bengkayang,Sungai Raya Kepulauan,,"Karimunting; 
Rukmajaya;
Sungai Raya; 
Sungai Keran; 
Mandor.",01/01/2018,https://www.kompasiana.com/yopicahyono/55105c62a33311ae2dba89ef/warga-sungai-raya-kepulauan-demo-pt-patiware-tuntut-kebun-plasma,https://regional.kompas.com/read/2013/09/25/1307023/Sengketa.Lahan.Sawit.Warga.di.Bengkayang.Blokade.Jalan.,http://jurnal.untan.ac.id/index.php/jpdpb/article/download/25347/75676576510,https://news.mongabay.com/2015/07/not-just-any-wilmar-suppliers-caught-violating-no-deforestation-policy/,https://twitter.com/Ngahheru/status/963410567942750208,,
Budiduta Agro Mandiri,Unknown,,Yes,Yes,,Riau,Rokan Hulu,Kecepatan,,,27/09/2015,https://riauterkini.com/sosial.php?arr=98272&judul=Protes%208%20Koperasi%20Terhadap%20PT%20PIS%201%20Diselesaikan%20Pemkab%20Rohul,http://rohultoday.id/berita/detail/ratusan-petani-blokir-akses-masuk-aktifitas-pt-pisp-lumpuh,https://riaupos.jawapos.com/rokan-hulu/27/01/2021/245395/warga-rantau-binuang-mengadu-ke-dpd.html,,,,
Perkebunan Lembah Bhakti,First Resources Ltd,Yes,Yes,Yes,,Aceh,Aceh Singkil,Gunung Meriah,,Blok 30,07/07/2015,https://aceh.tribunnews.com/2013/02/25/perusahaan-perkebunan-didesak-buka-kebun-plasma.,https://web.archive.org/web/20210525114850/https://palmoilmagazine.com/news/2494/pt-plb-banung--1-000-ha-for-plasma-plantation-areas,http://repository.umsu.ac.id/handle/123456789/4742,https://www.harianaceh.co.id/2020/02/21/bai-surati-plt-gubernur-aceh-hentikan-operasi-hgu-pt-plb-singkil/,,,
Perkebunan Hutan Musi Lestari (PHML),Astra Agro Lestari,,Yes,,,South Sumatra,Musi Rawas,Bulang Tengah Suku Ulu,,,25/09/2018,https://daerah.sindonews.com/read/705352/24/warga-plawe-tuntut-kebun-kelapa-sawit-plasma-1357726992,https://web.archive.org/web/20210525115122/https://kabarsumatera.com/2013/11/26/sembilan-desa-tagih-janji-pt-phml/,https://hariansilampari.sumeks.co/kantor-pt-phml-didemo/,https://sumsel.antaranews.com/berita/341935/ratusan-masyarakat-desa-binjai-demo-pt-phml,https://daerah.sindonews.com/berita/705352/24/warga-plawe-tuntut-kebun-kelapa-sawit-plasma,,
Buana Artha Sejahtera,Golden Agri-Resources,Yes,,Yes,,North Sumatra,Mandailing Natal,Batahan,,Batu Sondet,27/11/2019,https://www.solopos.com/warga-blokir-jalan-utama-menuju-ptpn-iv-21841,https://medanbisnisdaily.com/news/online/read/2019/11/27/93943/plasma_1_600_ha_di_madina_tak_dibayar_ptpn_iv_diminta_jangan_menipu_warga/,,,,,
Perkebunan Nusantara (PTPN) V,Perkebunan Nusantara (PTPN),Yes,,,,Riau,Kampar ,Siak Hulu,,Pangkalan Baru,24/10/2020,https://m.liputan6.com/regional/read/4390410/polemik-lahan-400-hektare-raib-koperasi-dan-ptpn-v-sama-sama-ajukan-bukti,https://www.riaueditor.com/detail/Hukrim/kejati-riau-disindir-soal-laporan-korupsi-di-ptpn5-mengendap-selama-setahun,https://www.liputan6.com/regional/read/4388597/sengkarut-pengelolaan-kebun-sawit-plasma-koperasi-tani-dengan-ptpn-v,https://www.mongabay.co.id/2021/12/07/sengkarut-bermitra-dengan-perusahaan-negara-utang-koperasi-petani-sawit-di-riau-lebih-seratus-miliar/,,,
Perkebunan Nusantara (PTPN) I Kreng Luas,Perkebunan Nusantara (PTPN),Yes,Yes,,,Aceh,Aceh Singkil,Rundeng,,"Tanah Tumbuh, Tualang, Kuala Keppeng",06/03/2015,http://web.archive.org/web/20210525110755/https://aceh.tribunnews.com/2015/03/06/wali-kota-minta-ptpn-i-realisasikan-kebun-plasma,,,,,,
Permata Hijau Pasaman,Perkebunan Nusantara (PTPN),,,Yes,,West Sumatra,West Pasaman,Pasaman,,Nagari Sasak dan Nagari Kapa,05/08/2021,https://investigasi.tempo.co/241/akrobat-lahan-raja-sawit,https://www.metroandalas.co.id/berita-konflik-lahan-maligi-silahkan-lanjutkan-ke-jalur-hukum.html,http://tabloidbijak.blogspot.com/2018/03/masyarakat-maligi-kecamatan-sasak.html,http://ershiblogaddres.blogspot.com/2017/04/ninik-maligi.html,https://www.mongabay.co.id/2015/06/12/sengketa-tak-berkesudahan-potret-wilmar-group-di-nagari-kapa/,https://sumbar.kabardaerah.com/2018/03/09/rampas-lahan-plasma-seluas-1435-hektar-masyarakat-maligi-demo-pt-php-ii/,https://askrspo.force.com/Complaint/s/case/5009000002AtWgMAAV/detail
Perkebunan Sumatra Utara (Simpang Gambir mil),Wilmar,Yes,,,,North Sumatra,Mandailing Natal,Natal,,,24/03/2022,https://news.detik.com/berita/d-1348618/polisi-tangkap-40-orang-perusak-polsek-natal-sumut,https://news.detik.com/berita/d-1345958/bentrok-warga-di-mandailing-natal-polisi-dan-wartawan-cedera,https://startfmmadina.com/terkait-pengadaan-kebun-desa-pt-psu-dinilai-bodohi-warga-simpang-koje/,https://martabesumut.com/aset-pt-psu-disita-tapi-operasional-anggota-dprdsu-fahrizal-nasution-jadi-ladang-korupsi-manajemen-mundurlah/,https://www.mandailingonline.com/pt-psu-akan-realisasikan-plasma/,,
Buluh Cawang Plantations,Wilmar,Yes,,Yes,,West Kalimantan,Kapuas Hulu,Silat Hilir,,Sentabai,15/04/2017,https://www.mongabay.co.id/2014/11/27/kotak-pandora-di-konsesi-sinar-mas-grup-kalbar/,https://rightsandresources.org/wp-content/uploads/2017/05/Gender-Issues-in-Large-Scale-Land-Acquisition-Insights-from-Oil-Palm-in-Indonesia_April-2017_CIFOR.pdf,https://drive.google.com/open?id=18J28oFswmSGMt-s8-KMo2x1ByLNWNU3t,,,,
Bukit Bintang Sawit,Bukit Bintang Sawit,Yes,,Yes,,South Kalimantan,Tanah Laut,Kintap,,Kintapura,19/04/2018,https://infotanahlaut.com/desak-perusahaan-tak-panen-dikebun-plasma/,http://www.pelpost.com/Ls/Br/?s=5jHpafY5,https://kalsel.prokal.co/read/news/14784-warga-desa-kintapura-tuntut-pt-pkis-hentikan-panen-sawit.html,https://infotanahlaut.com/jangan-sampai-perushaan-sukses-rakyat-menderita/,https://repository.uksw.edu/bitstream/123456789/2952/2/T1_222008001_Full%20text.pdf,,
Bumi Mulia Makmur Lestari,Padasa Enam Utama,,Yes,Yes,,South Sumatra,Musi Rawas,Karang Dapo,,Biaro Baru,16/02/2021,www.revolusiindonesia.com%2F2018%2F12%2Fpermasalahan-plasma-desa-prabumulih1.html,https://koransn.com/di-muratara-sedikitnya-terjadi-9-kasus-sengketa-antara-perusahaan-dan-masyarakat/,https://www.mongabay.co.id/2020/08/11/kala-warga-desa-bina-karya-tuntut-plasma-480-hektar/,https://sumeks.co/petani-plasma-unras-ke-pt-ppa/,,,
Pratama Prosentido,Oriental Holdings Berhad,,Yes,Yes,,West Kalimantan,Landak,,,,23/02/2021,https://pontianak.tribunnews.com/2021/02/23/kadisbun-landak-sebut-plasma-yang-akan-diserahkan-pt-pp-ke-masyarakat-belum-layak,https://strateginews.co/2020/10/02/rapat-pt-pp-dengan-masyarakat-dusun-meramun-koperasi-putra-dapah-maju-hasilkan-6-kesepakatan/,https://www.youtube.com/watch?v=B_e-IOGjnr4,https://www.teras.id/news/pat-66/266266/komisi-b-dprd-landak-mediasi-bagi-hasil-kabun-plasma-pt-pratama-prosentindo-dengan-koperasi-dapat-maju,https://strateginews.co/2021/02/20/terungkap-lanhan-pt-pp-wilmar-group-tak-miliki-hgu/,,
Prima Tunas Kharisma,Wilmar,Yes,Yes,,,North Kalimantan,Bulungan,,,,25/11/2021,https://webcache.googleusercontent.com/search?q=cache:VX9wshFWYAgJ:https://cokoliat.com/kalimantan-utara/2021/11/22/warga-18-desa-di-bulungan-demo-tuntut-csr-dan-sistem-kelola-plasma/+&cd=30&hl=en&ct=clnk&gl=us,https://kaltara.tribunnews.com/2021/11/24/amankan-demo-plasma-sawit-di-mara-satu-polres-bulungan-kerahkan-ratusan-personel-dibantu-brimob,https://kaltara.tribunnews.com/2021/11/24/konflik-plasma-sawit-pemkab-dan-polres-bulungan-bertemu-18-perwakilan-warga-desa-dari-4-kecamatan,https://www.cao-ombudsman.org/cases/indonesia-wings-01long-beluah,https://www.cao-ombudsman.org/sites/default/files/downloads/CAOAssessmentReport_Wings-01_Indonesia_November2019.pdf,https://kaltara.prokal.co/read/news/39663-realisasi-plasma-dinilai-belum-maksimal,https://www.jurnalkaltara.com/2021/10/17/soal-kebun-plasma-para-kades-akan-bersurat-ke-bupati-bulungan/
Prima Aceh Agro Lestari,Wings Corp,,,Yes,,Aceh,West Aceh,Woyla,,,08/10/2020,https://www.ajnn.net/news/warga-aceh-barat-blokir-jalan-menuju-pt-paal/index.html,https://aceh.tribunnews.com/2015/11/19/warga-geruduk-pt-paal-tuntut-kebun-plasma,https://ir-media.wilmar-international.com/app/uploads/2019/09/wilmar-sustainability-report-2009.pdf,https://www.ajnn.net/news/tuntut-kebun-plasma-warga-blokir-jalan-kebun-pt-paal/index.html,,,
Primabahagia Permai Sejati,Unknown,Yes,,Yes,,North Kalimantan,Bulungan,Tanjung Palas Timur,,"Binai, Sajau Hilir, Tanah Kuning",23/01/2021,https://mediatipikorindonesia.com/hgu-perkebunan-kelapa-sawit-pt-pbp-di-kabupaten-bulungan-perlu-ditinjau-ulang,https://korankaltara.com/realisasi-plasma-terkendala-lahan/,https://bearita.com/read-archive/15639/plasma-perkebunan-dianggap-gombal.html,,,,
Primatama Mulia Jaya,IJM,Yes,,Yes,,West Sumatra,West Pasaman,Luhak Nan Duo,,Simpang TIgo Koto Baru,11/06/2021,https://web.archive.org/web/20170430070154/http://rakyatmediapers.co.id/nasional/2016/08/02/tuntut-lahan-mereka-yang-diserobot-pt-primatama-mulya-jaya-pmj.html,https://www.wilmar-international.com/docs/default-source/default-document-library/sustainability/wilmar-ef-1st-phase-of-community-project-in-pasaman-barat.pdf?sfvrsn=36e0ad6c_2,https://sumbarsatu.com/berita/10213-warga-sungai-talang-tuntut-kembalikan-lahan-yang-dikuasai-pt-primatama-mulia-jaya https://www.facebook.com/groups/797003714069598/posts/1470432556726707/,https://www.wilmar-international.com/docs/default-source/default-document-library/sustainability/wilmar-ef-1st-phase-of-community-project-in-pasaman-barat.pdf?sfvrsn=36e0ad6c_2,https://putusan3.mahkamahagung.go.id/direktori/putusan/9b50ece626f7d4849f83f6eabdf27050.html,https://www.wilmar-international.com/docs/default-source/default-document-library/sustainability/statement---erroneous-reporting-by-sea-globe.pdf?sfvrsn=3dbbc54e_2,https://askrspo.force.com/Complaint/s/case/50090000028EoXsAAK/detail
Prisma Cipta Mandiri,Wilmar,Yes,,Yes,,South Sumatra,Lahat,Kikim Timur,,,26/01/2021,https://web.archive.org/web/20191004191110/https://www.otoritasnews.co.id/tak-bangun-kebun-plasma-izin-perusahaan-perkebunan-kelapa-sawit-di-lahat-akan-dicabut/,https://web.archive.org/web/20210525111600/http://amperasumsel.co.id/2021/01/tim-advokad-warga-siap-gugat-pt-pcm-ke-pengadilan-negeri-lahat/,http://sriwijayaonline.com/11493-warga-cecar-portal-jalan-dan-buat-pondok-di-pt-cipta-prisma-mandiri.html,https://hcvnetwork.org/reports/integrated-hcv-hcsa-assessment-report-in-concession-area-of-pt-prisma-cipta-mandiri-lahat-regency-south-sumatera-indonesia/,,,
Rambang Agro Jaya,Golden Agri-Resources,Yes,,Yes,,South Sumatra,Ogan Komering Ilir,Kota Kayu Agung,,"Kedaton, Lubuk Dalam",15/07/2019,https://www.detiksumsel.com/pemkab-oki-akan-mediasi-warga-dengan-perusahaan/,https://penasumatera.co.id/diduga-ratusan-hektar-lahan-hgu-warga-desa-lubuk-dalam-belum-diganti-rugi-pt-raj/,,,,,
Bumi Permai Lestari,Golden Agri-Resources,Yes,,,,Papua,Mimika,,,,07/02/2020,https://seputarpapua.com/view/3236-dprd-mimika-warning-pt-pal-soal-pembangunan-pabrik-kelapa-sawit.html,https://seputarpapua.com/view/soal-pt-pal-masyarakat-kiyura-dukung-pemilik-hak-ulayat-iwaka-pertahankan-haknya.html,https://harianpapuanews.id/baca/13221-dikabarkan-tutup-pt-pal-diminta-bertanggung-jawab.html,,,,
Bumi Sawit Abadi Pratama,Unknown,Yes,,Yes,,West Kalimantan,Kubu Raya,Sungai Raya,,"Telokbinjai, Wonosari",04/10/2021,https://web.archive.org/web/20211004114359/https://monologis.id/nusantara/petani-plasma-blokir-jalan-pt-rajawali-jaya-perkasa,https://berkatnewstv.com/2020/06/17/phk-sepihak-lewat-whatsapp-pt-rajawali-jaya-perkasa-didemo-karyawan/,,,,,
Rea Kaltim Plantations,Safari Riau,Yes,Yes,,,East Kalimantan,Kutai Kartanegara,,,,07/02/2022,https://askrspo.force.com/Complaint/s/case/50090000028ErzXAAS/detail,https://www.forestpeoples.org/sites/fpp/files/private/publication/2013/12/conflict-or-consent-chapter-5-pt-rea-kaltim-plantation-and-dayak-and-kutai-peoples-kutai-kartanegara.pdf,https://beritainvestigasi.com/kepala-adat-siap-maju-fasilitasi-kebun-plasma-deengan-pt-rea-kaltim/,https://beritainvestigasi.com/kepala-adat-siap-maju-fasilitasi-kebun-plasma-deengan-pt-rea-kaltim/,,,
Rigunas Agri Utama,REA,,Yes,,,Riau,Indragiri Hulu ,Rakit Kulim,Kelayang,"Talang Tujuh Buah Tangga, Durian Cacar, Kota Baru (Kecamatan Rakim Kulim); Kota Medan, Sengkilo (Kelayang)",17/03/2019,http://seriau.com/news/detail/28796/daerah/adv/dprd-riau/lam-inhu-sebut-empat-perusahaan-tidak-beri-manfaat-bagi-masyarakat,http://repository.uin-suska.ac.id/7393/3/BAB%20II.pdf,,,,,
Riau Agrotama,Asian Agri,Yes,,Yes,,West Kalimantan,Kapuas Hulu,Silat Hilir,,"Sungai Sena, Miau Merah",30/04/2017,http://ruai.tv/2012/10/29/petani-silat-hilir-kapuas-hulu-lumpuhkan-seluruh-aktivitas-pt-riau-agrotama-plantation-salim-group/,http://www.uncak.com/2017/05/warga-desa-sungai-sena-minta-pt-rap.html,https://www.radarnusantara.com/2018/03/pt-rap-polisikan-warga-7-orang-audensi.html,,,,
Rimba Matoa Lestari,Indofood Agri Resources,Yes,,,,Papua,Jayapura,,,,13/10/2020,http://tribratanews.polri.go.id/?p=155183,http://lintaspapua.com/2018/03/19/bahas-pola-kemitraan-sektor-perkebunan-sawit-pt-rml-temui-pemkab-jayapura/,https://www.mongabay.co.id/2020/10/13/warga-tagih-plasma-dan-keluhkan-perusahaan-sawit-cemari-sungai-di-papua/,,,,
Rimba Mujur Mahkota,DTK Opportunity Group,Yes,,Yes,,North Sumatra,Mandailing Natal,Natal,,,03/04/2017,https://startfmmadina.com/ketua-komisi-a-dprd-su-fernando-simanjuntak-izin-pt-rmm-dan-pt-dis-bisa-di-cabut-apabila-plasma-tidak-diserahkan/,https://startfmmadina.com/demo-mahasiswa-aksi-telanjang-dada/,https://www.matatelinga.com/Berita-Sumut/Ini-Klarifikasi-PT-DIS-dan-PT-RMM-Terkait-Demo-Mahasiswa,https://metrorakyat.com/2016/05/kontras-sumut-pt-rmh-dan-pt-dis-segera-realisasikan-lahan-plasma-milik-desa-bintuas-dan-desa-buburan/,https://www.inilahmedan.com/2016/10/tuntut-kebun-plasma-di-madina-aliansi.html,,
Rimbunan Alam Sentosa,Pasifik Agro Sentosa,Yes,,Yes,,Central Sulawesi,North Morowali,,,,23/01/2018,https://www.mongabay.co.id/2018/01/23/sederet-konflik-lahan-perusahaan-sawit-astra-di-sulteng/,https://drive.google.com/open?id=18J28oFswmSGMt-s8-KMo2x1ByLNWNU3t,,,,,
Bumi Pratama Khatulistiwa,Wilmar,Yes,,Yes,,Central Kalimantan,Seruyan,Danau Sembuluh,,"Tabiku, Bangkal, Terawan, Lake Sembuluh I, Lake Sembuluh II, Telaga Pulang, and Cempaka Baru",19/01/2019,https://www.mongabay.co.id/2019/01/19/demo-perusahaan-sawit-warga-sembuluh-keluhkan-danau-tercemar-limbah/,https://saveourborneo.org/8-desa-blokir-jalan-utama-pt-salonok-ladang-mas-ustp-group/,https://www.youtube.com/watch?v=_ccphF0skmU,https://www.tabengan.com/bacaberita/59800/perusahaan-diminta-patuhi-aturan-mengenai-plasma/,http://walhikalteng.org/2019/01/13/bersatu-dalam-aksi-damai-sembuluh-menolak-hancur/,,
Safari Riau,Union Sampoerna Triputra Persada,Yes,,,,Riau,Pelalawan,Pangkalan Kuras,,Terantang Manuk,23/07/2020,http://web.archive.org/web/20211101143928/https://metroterkini.com/news/detail/48336/ekBis/Riau/fps-desak-pt-sr-kembalikan-lahan-masyarakat-265-ha,,,,,,
Sago Nauli,Unknown,,Yes,,,North Sumatra,Mandailing Natal,,,,02/10/2021,https://www.sumut24.co/disinyalir-kebal-hukum-kali-ke-tiga-pakar-surati-presiden-terkait-kasus-pt-sago-nauli/,https://sumbarsatu.com/berita/11029-menginap-di-dprd-pasbar-ratusan-warga-tuntut-pt-sago-nauli-kembalikan-lahan,,,,,
Sanggam Kahuripan Indonesia,Unknown,Yes,,Yes,,North Kalimantan,Bulungan,Tanjung Palas Tengah,,Salim Batu,20/02/2020,https://www.viva.co.id/berita/nasional/774241-18-tahun-tanah-diduduki-warga-serbu-perusahaan-sawit?page=all&utm_medium=all-page,https://korankaltara.com/evaluasi-perizinan-perusahaan-perkebunan-keluarkan-lahan-tidur/,https://rakyatkaltara.prokal.co/read/news/4351-pt-ski-dinilai-obral-janji-manajemen-bantah-tak-realisasikan-plasma,https://ejournal.ps.fisip-unmul.ac.id/site/wp-content/uploads/2014/11/JURNAL%20%20SIDIQ%20BAEHAQI%20(11-18-14-03-19-06).pdf,,,
Sari Aditya Loka 1,Matahari Kahuripan Indonesia,,Yes,Yes,,Jambi,"Soralangun, Merangin",Tabir Selatan,,,01/03/2016,https://metrojambi.com/read/2016/03/09/8245/apkasindo-sebut-pt-sal-rugikan-petani-merangin-dan-sarolangun-puluhan-miliar,https://web.archive.org/web/20190220225254/http://www.terasmerangin.com/teraskota/ini-keselahan-fatal-pt-sal-terhadap-petani-plasma-menurut-apkasindo.html,https://serikatpetanikelapasawit.blogspot.com/2009/10/masalah-petani-sawit-dalam-bermitra.html,https://www.hrw.org/report/2019/09/22/when-we-lost-forest-we-lost-everything/oil-palm-plantations-and-rights-violations,https://online-journal.unja.ac.id/jseb/article/view/8605/5085,https://www.liputan6.com/regional/read/4578839/curhat-ke-komnas-ham-tumenggung-orang-rimba-beri-kami-tempat-hidup,
Satria Hupasarana,Astra Agro Lestari,,Yes,,,Central Kalimantan,Lamandau,Menthobi Raya,,Bukit Raya,01/01/2018,http://sampit.prokal.co/read/news/17799-nah-hayu-kam-gubernur-perintahkan-tahan-cpo-perusahaan.html,https://jambi.tribunnews.com/2018/09/21/warsi-dukung-moratorium-perkebunan-sawit,,,,,
